¹Å¸q¿¤¤½¨®³B,103,±ö¤s-¦Ë±T°ª¤¤,±ö¤s,¦Ë±T°ª¤¤,,,
¹Å¸q¿¤¤½¨®³B,103,¦Ë±T°ª¤¤-±ö¤s,¦Ë±T°ª¤¤,±ö¤s,,,
¹Å¸q¿¤¤½¨®³B,105,»[ÀY½©ÑL¤å¤Æ¶é°Ï¡÷¬G®c«n°|¡÷°ªÅK¹Å¸q¯¸,»[ÀY½©ÑL¤å¤Æ¶é°Ï,°ªÅK¹Å¸q¯¸,,,
¹Å¸q¿¤¤½¨®³B,105,°ªÅK¹Å¸q¯¸¡÷¬G®c«n°|¡÷»[ÀY½©ÑL¤å¤Æ¶é°Ï,°ªÅK¹Å¸q¯¸,»[ÀY½©ÑL¤å¤Æ¶é°Ï,,,
¹Å¸q¿¤¤½¨®³B,106,°ªÅK¹Å¸q¯¸¡÷¬G®c«n°|¡÷¤¤¥¿¤j¾Ç¡÷¹Å¸q,°ªÅK¹Å¸q¯¸,¥xÅK¹Å¸q¯¸,,,
²ÎÁp«È¹B,1618,¹Å¸q¡÷¥x¥_[¤£°±¤¤´äÂà¹B¯¸¡BªL¤f¡B­«¶§¯¸],¹Å¸qÂà¹B¯¸,»O¥_Âà¹B¯¸,,,
²ÎÁp«È¹B,1638,ªF¥Û¡÷¦µ¤l¡÷¥x¥_,ªF¥Û,»O¥_Âà¹B¯¸,,,
²ÎÁp«È¹B,1638,¥x¥_¡÷¦µ¤l¡÷ªF¥Û,»O¥_Âà¹B¯¸,ªF¥Û,,,
¹Å¸q«È¹B,7201,¹Å¸q¡÷¥_´ä(¸g¤ë¬Ü¼æ)[¸g¹Å¸q¥«¾Ç°Ï],¹Å¸q,¥_´ä,,,
¹Å¸q«È¹B,7201,¥_´ä¡÷¹Å¸q(¸g¤ë¬Ü¼æ)[¸g¹Å¸q¥«¾Ç°Ï],¥_´ä,¹Å¸q,,,
¹Å¸q«È¹B,7202,¥_´ä¡÷¹Å¸q(¸g¥Á¶¯)[¸g¹Å¸q¥«°Ï],¥_´ä,¹Å¸q,,,
¹Å¸q«È¹B,7202,¹Å¸q¡÷¥_´ä(¸g¥Á¶¯)[¸g¹Å¸q¥«¾Ç°Ï],¹Å¸q,¥_´ä,,,
¹Å¸q«È¹B,7203,¹Å¸q¡÷¤g®w,¹Å¸q,¤g®w,,,
¹Å¸q«È¹B,7203,¤g®w¡÷¹Å¸q,¤g®w,¹Å¸q,,,
¹Å¸q«È¹B,7203,¤g®w¡÷¹Å¸q[¸g¹Å¸q¥«¾Ç°Ï],¤g®w,¹Å¸q,,,
¹Å¸q«È¹B,7204,¹Å¸q¡÷·Ë¤f,¹Å¸q,·Ë¤f,,,
¹Å¸q«È¹B,7204,¹Å¸q¡÷·Ë¤f[¸g¹Å¸q¥«¾Ç°Ï],¹Å¸q,·Ë¤f,,,
¹Å¸q«È¹B,7204,·Ë¤f¡÷¹Å¸q,·Ë¤f,¹Å¸q,,,
¹Å¸q«È¹B,7204,·Ë¤f¡÷¹Å¸q[¸g¹Å¸q¥«¾Ç°Ï],·Ë¤f,¹Å¸q,,,
¹Å¸q«È¹B,7205,¹Å¸q¡÷¦µ¤l(¸g¤Ó«O)[Â¶¾p¥Ã¼y°ª¤¤],¹Å¸q,¦µ¤l,,,
¹Å¸q«È¹B,7205,¹Å¸q¡÷¦µ¤l(¸g¤Ó«O)[¸g¹Å¸q¥«¾Ç°Ï],¹Å¸q,¦µ¤l,,,
¹Å¸q«È¹B,7205,¦µ¤l¡÷¹Å¸q(¸g¤Ó«O),¦µ¤l,¹Å¸q,,,
¹Å¸q«È¹B,7205,¦µ¤l¡÷¹Å¸q(¸g¤Ó«O)[¸g¹Å¸q¥«¾Ç°Ï],¦µ¤l,¹Å¸q,,,
¹Å¸q«È¹B,7206,¹Å¸q¡÷¶ó´ä,¹Å¸q,¶ó´ä,,,
¹Å¸q«È¹B,7206,¶ó´ä¡÷¹Å¸q,¶ó´ä,¹Å¸q,,,
¹Å¸q«È¹B,7206,¹Å¸q¡÷¶ó´ä[Â¶¾p¹Å¸q°ªÅK],¹Å¸q,¶ó´ä,,,
¹Å¸q«È¹B,7206,¶ó´ä¡÷¹Å¸q[Â¶¾p¹Å¸q°ªÅK],¶ó´ä,¹Å¸q,,,
¹Å¸q«È¹B,7207,¹Å¸q¡÷ÆQ¤ô(¸g¦Ë¤l¸}),¹Å¸q,ÆQ¤ô,,,
¹Å¸q«È¹B,7207,ÆQ¤ô¡÷¹Å¸q(¸g¦Ë¤l¸}),ÆQ¤ô,¹Å¸q,,,
¹Å¸q«È¹B,7208,¹Å¸q¡÷ÆQ¤ô(¸g­«¼d),¹Å¸q,ÆQ¤ô,,,
¹Å¸q«È¹B,7208,ÆQ¤ô¡÷¹Å¸q(¸g­«¼d),ÆQ¤ô,¹Å¸q,,,
¹Å¸q«È¹B,7208,¹Å¸q¡÷ÆQ¤ô(¸g­«¼d)[¸g¹Å¸q¥«¾Ç°Ï],¹Å¸q,ÆQ¤ô,,,
¹Å¸q«È¹B,7208,ÆQ¤ô¡÷¹Å¸q(¸g­«¼d)[¸g¹Å¸q¥«¾Ç°Ï],ÆQ¤ô,¹Å¸q,,,
¹Å¸q«È¹B,7211,¹Å¸q¤½¶é¡÷»OÅK¹Å¸q¯¸¡÷°ªÅK¹Å¸q¯¸¡÷¹Å¸q¿¤¥ßÅé¨|À],¹Å¸q¤½¶é,¹Å¸q¿¤¥ßÅé¨|À],,,
¹Å¸q«È¹B,7211,¹Å¸q¿¤¥ßÅé¨|À]¡÷°ªÅK¹Å¸q¯¸¡÷»OÅK¹Å¸q¯¸¡÷¹Å¸q¤½¶é,¹Å¸q¿¤¥ßÅé¨|À],¹Å¸q¤½¶é,,,
¹Å¸q«È¹B,7212,»OÅK¹Å¸q¯¸«á¯¸¡÷°ªÅK¹Å¸q¯¸,¥xÅK¹Å¸q«á¯¸,°ªÅK¹Å¸q¯¸,,,
¹Å¸q«È¹B,7213,¹Å¸q¡÷¾ðªLÀY(¸g³À¯ó),¹Å¸q,¾ðªLÀY,,,
¹Å¸q«È¹B,7213,¾ðªLÀY¡÷¹Å¸q(¸g³À¯ó),¾ðªLÀY,¹Å¸q,,,
¹Å¸q«È¹B,7214,¹Å¸q¡÷Ãö¤lÀ­,¹Å¸qÂà¹B¯¸,À­³»¤½¶é,,,
